fips,diabetes,inactivity,mental_health,obesity,smoking
16017,10.1,22.2,15.7,32.0,13.05
16019,9.15,21.3,16.65,33.4,11.5
16021,11.0,24.95,16.9,33.25,14.95
16023,13.15,28.6,18.55,35.6,17.7
16025,10.1,22.3,15.55,29.5,12.45
16027,10.85,25.0,16.75,35.4,12.5
16029,9.6,23.4,17.0,34.8,13.7
16031,10.6,26.55,16.85,37.7,13.2
16033,12.65,29.65,16.4,36.35,14.1
16035,11.15,24.0,16.2,31.8,14.4
16037,11.2,22.85,15.75,31.45,13.0
16039,10.3,24.5,17.5,34.65,14.2
16041,8.95,22.35,17.0,35.8,13.05
16043,9.75,23.1,16.65,32.7,13.05
16045,10.1,23.6,16.25,32.95,13.1
16047,12.0,29.2,17.25,34.3,15.2
16049,10.8,23.7,16.1,31.95,13.55
16051,8.9,21.4,16.4,33.05,12.2
16053,12.15,30.0,17.4,35.8,15.7
16055,8.95,19.0,16.8,31.6,12.2
16057,8.1,18.5,16.9,30.3,10.8
16059,10.65,24.75,16.35,30.5,13.85
16061,12.8,28.2,17.3,35.35,16.0
16063,10.95,27.7,17.0,34.2,14.25
16065,7.8,22.2,20.5,30.1,12.7
16067,11.65,28.6,16.95,36.55,13.65
16069,9.8,24.45,17.05,37.9,13.8
16071,9.45,21.8,16.55,32.05,12.65
16073,12.25,30.05,17.75,33.45,16.55
16075,10.7,26.05,17.1,31.45,14.45
16077,11.35,27.75,16.9,37.75,14.05
16079,11.85,27.1,18.3,36.0,16.1
16081,8.6,18.75,14.4,31.4,10.4
16083,10.45,27.45,16.95,33.4,13.45
16085,11.15,23.75,15.65,33.65,13.25
16087,12.6,28.0,17.3,33.6,15.6
17001,10.8,23.35,17.5,38.0,14.7
